id,anoFabricacao,cidade,quantidade,siglaEstado,marca,modelo
1,2006,,14,,,
2,2021,BELO HORIZONTE,2113,MG,FIAT,SIENA 1.0
3,2017,NITEROI,17,RJ,,MT03
4,1978,,12,MG,,FUSCA 1300 L
5,1992,,15,MG,,GOL CL
6,,BUIQUE,27,,,
7,2012,BELO HORIZONTE,1411,,FIAT,UNO MILLE ECONOMY
8,2004,,38,MG,VW,GOL 1.0
9,2011,,13,MG,,NXR150 BROS ESD
10,1984,,13,CE,,CHEVROLET D10
11,2007,BELEM,15,PA,RENAULT,CLIO AUT 10 16VH
12,1985,,12,PR,,MONZA SL
13,2008,SAO JORGE DO PATROCINIO,10,PR,HONDA,
14,2017,RIO DE JANEIRO,1188,RJ,HONDA,HR-V EX CVT
15,2015,,31,RO,HONDA,BIZ 125 ES
16,2021,,28,CE,HONDA,
17,2021,JUAZEIRO,19,BA,HYUNDAI,HB20 10M EVOLUTI
18,2013,BREJO SANTO,11,,,UNO VIVACE 1.0
19,2012,,22,BA,CHEVROLET,MONTANA LS
20,2016,,49,,,
21,,,11,CE,HONDA,
22,2011,PONTA GROSSA,14,,,BRAVO ESSENCE 1.8
23,1970,BELO HORIZONTE,925,MG,VW,
24,,,20,MG,HONDA,CG 160 TITAN
25,,JOSENOPOLIS,18,MG,,
26,2008,,13,PA,,SUZUKI EN125 YES
27,2009,,820,,CHEVROLET,CLASSIC
28,2014,BETIM,29,,CHEVROLET,
29,2013,UBA,11,MG,,COMET 150 70
30,2011,AUTAZES,11,AM,HONDA,BIZ 125 EX
31,2011,,14,,YAMAHA,
32,,,15,,HONDA,NXR150 BROS ES
33,1995,,12,RJ,FIAT,FIORINO 1.0
34,2019,,18,,VW,FOX CONNECT MB
35,,CORBELIA,11,PR,,
36,2011,ITAPEVA,18,MG,,GOL 1.0
37,1972,,16,PR,FORD,F75
38,2020,ANANINDEUA,21,PA,RENAULT,DUSTER ZEN 16
39,2007,FOZ DO IGUACU,11,PR,,STRADA ADVENT FLEX
40,2018,VITORIA,27,ES,YAMAHA,XTZ150 CROSSER Z
41,,RIO DE JANEIRO,596,RJ,FORD,ESCORT XR3
42,2000,RECIFE,19,PE,,PEUGEOT 106 SELECTIO
43,2013,VICOSA,35,MG,,STRADA WORKING
44,2008,TANGARA DA SERRA,523,MT,HONDA,CG 125 FAN
45,2004,,10,,FORD,ECOSPORT XLT 1.6L
46,2017,CURITIBA,15,,M.BENZ,
